,Text,standford_sentiment,Vader_sentiment
1032591,maybe it be the animals that follow us amp can t smile back ha smile amp the whole world smile with you,Positive,Positive
1109873,watch the click jenny lu dxeq,Neutral,Neutral
532686,in the wait room at the dr office feel so shitty,Negative,Negative
918499,you guy can match cute ps when be you visit la,Positive,Positive
799663,toooom answer me im crazy to hear the new songs come to brazil again te amo,Neutral,Negative
1559699,in n out with my bestie aron in about an hour and minutes haha stoke,Neutral,Positive
1161209,hope we can do hike and camp again sometime alright off to pack my things,Neutral,Positive
1049615,time for a cute little camel menthol light,Positive,Positive
1531289,msn isn t work it make me sad now my phone and msn be break but my phone should be fix by the end of this week ilmfsfmiu,Negative,Negative
937949,thank bruh promise my head win t get too swell,Neutral,Positive
53195,i ve be cool apart from dentist rip out my wisdom tooth i m in pain,Negative,Positive
885593,use to scare me as a child just think about it literally now i find comfort in a stock pantry no biggie really,Negative,Negative
990134,you might have remember only half but you be smokin hot the whole night hope that make you feel better,Neutral,Positive
832321,i m live in anguilla from montreal both great place,Neutral,Positive
1056837,wonderful daydream about new art piece i m go to start on this weekend,Positive,Positive
759879,i think i be use sony vegas or something like that pinnacle lol i dont remember thats how long it have be,Negative,Positive
1047092,i know a thing that crash burn and never come back don t ask for more,Negative,Negative
1350539,bow wow be rap sing for us live right now at gi he be so adorable,Neutral,Positive
394931,try to figure out the snap twitter for my bb piss me off cuz i m hungry too,Negative,Negative
1542292,noon tweet it s still sunny in nyc about to get in the kitchen and cook,Neutral,Positive
569396,i feel like shit today didn t sleep to be thank to my hay fever and cheese and onion crisp be yucky x,Negative,Negative
995152,finish the show in one piece with a smile and a ribbon for finn such a good boy,Positive,Positive
670247,daisy meet the baby and she didn t like him very much n go crazy so i have to take her away,Neutral,Neutral
15298,you get a twitter yes tho ur username be really hard to memorize so its gon na be hard for me to post on ur page,Negative,Positive
1352752,atleast i can afford these damage opfa,Neutral,Negative
207783,i think i m go to miss earth fest,Neutral,Negative
1103274,for to see if blip be work mason williams classical gas bfwv,Neutral,Neutral
769362,grrr jetstar s website and phone service doesn t reflect today s flight change it s call the electronic age people,Negative,Negative
557222,hi oh this be fun we re all here cept for the fact ella be ignore me,Neutral,Positive
946508,so can i triplechuck the redefinition,Neutral,Neutral
746334,bleh more than a month until i move out to la and i m already sick of move,Negative,Negative
143488,that make me sad don t leave cause of disagreement remember when another member be go through same thing amp stay,Neutral,Negative
569498,visual studio and winblows development,Neutral,Neutral
1152106,smh this nigga bout we to a west indian fest i m not ready for labor day lollll they playin the tune though,Negative,Negative
221854,kinda drink wish my crush be here don t know when i ll see him again,Negative,Positive
506185,think its time for bed i just run into a glass door that i think be open haha it hurt,Negative,Negative
847668,oh i love go there yes i ll be there for beer and chip,Negative,Positive
1101053,i be off to the quot sun city carnival quot concert it be go to be great,Neutral,Positive
36423,oh god the news be talk about all the shit that have happen today in the past and i be scar,Negative,Positive
1563637,it s gon na be a suuuurpriiiiise,Neutral,Neutral
662889,awh dont be,Neutral,Neutral
1511708,you be an amaze man of god love you bestie,Positive,Positive
430802,i m really bore and do nothing,Verynegative,Negative
830012,morning wow sun be bright some more revision i think today in the sun ofcourse,Positive,Positive
1175522,if you like tom fletcher from mcfly please follow thank,Neutral,Positive
1423009,i have be know to rant once in a while it s goms grumpy old man syndrome,Negative,Negative
1084442,thank a lot for an amaze set see u around markus,Positive,Positive
942293,mornin look like there be a party last night,Neutral,Positive
1060170,th day of novena sorry but finally go to church tonight with the parent just make adobo for dinner yum,Negative,Neutral
824310,nice halpert style thumb up,Positive,Positive
314246,yeah try and get them to find a way its stupid so how be it be back apart from hat be awat from mark,Negative,Negative
647540,and b he leave he remind me that he doesnt need the document until monday well i dont have a date on fri night so i stay and f,Negative,Positive
804093,be debate vietnam or the phillipines culture or the sun heat or more heat life be good,Neutral,Positive
197261,i wish the recently bath dog wouldn t go outside and roll in stinky stuff,Negative,Positive
193868,cant wait til my relief get here it would b great if she come on time day that soooo wont b happenin,Negative,Positive
328874,yeah its not every mins i dont get why,Negative,Positive
64845,be a sad girrrrl because elvis can t sleep in her bed now and i can t have coffee with rock cry,Negative,Negative
142074,grade in fourth sem cpi for the first time almost a nine pk das suck,Neutral,Negative
864297,rightttt this be one pointless tweet,Negative,Neutral
1044055,morning guy n gals so glad the sun back enjoy your days,Negative,Positive
1321078,strive to be happy,Positive,Positive
1416691,no maybe i be wait on an important tweet ah ah i like cheese its late and im go to bed love you jamie,Negative,Positive
857010,try my site out,Neutral,Neutral
616209,if more state follow ma lead on consumer privacy laws federal will be the lesser of two evils it all make me sad,Negative,Negative
875650,i wish i be at bamboozle maybe next year i ll drive up there go get em travis rock on,Negative,Positive
490868,ok now time to perform a blogspot com smackdown i can t figure out why my post doesn t show up,Negative,Positive
1536449,want a new fone especialli the blackberry curve have a viewty for a month and break it so probz need to b xtra nice if i have any chance,Negative,Positive
1034746,i never like the halloween bucket i think they be a cop out i want my toy,Negative,Negative
1141964,b qu this be how i spend my time in long car rid,Negative,Neutral
